timestamp,prediction
2025-03-15 17:03:45,0.0000
2025-03-15 17:20:00,0.0000
2025-03-15 17:30:00,0.0000
2025-03-15 17:40:00,0.0000
2025-03-15 17:50:00,0.0000
2025-03-15 18:00:00,0.0000
2025-03-15 18:10:00,0.0000
2025-03-15 18:20:00,0.0000
2025-03-15 18:30:00,0.0000
2025-03-15 18:40:00,0.0000
2025-03-15 18:50:00,0.0000
2025-03-15 19:00:00,0.0000
2025-03-15 19:10:00,0.0000
2025-03-15 19:20:00,0.0000
2025-03-15 19:30:00,0.0000
2025-03-15 19:40:00,0.0000
2025-03-15 19:50:00,0.0000
2025-03-15 20:00:00,0.0000
2025-03-15 20:10:00,0.0000
2025-03-15 20:20:00,0.0000
2025-03-15 20:30:00,0.0000
2025-03-15 20:40:00,0.0000
2025-03-15 20:50:00,0.0000
2025-03-15 21:00:00,0.0000
2025-03-15 21:10:00,0.0000
2025-03-15 21:20:00,0.0000
2025-03-15 21:30:00,0.0000
2025-03-15 21:40:00,0.0000
2025-03-15 21:50:00,0.0000
2025-03-15 22:00:00,0.0000
2025-03-15 22:10:00,0.0000
2025-03-15 22:20:00,0.0000
2025-03-15 22:30:00,0.0000
2025-03-15 22:40:00,0.0000
2025-03-15 22:50:00,0.0000
2025-03-15 23:00:00,0.0000
2025-03-15 23:10:00,0.0000
2025-03-15 23:20:00,0.0000
2025-03-15 23:30:00,0.0000
2025-03-15 23:40:00,0.0000
2025-03-15 23:50:00,0.0000
2025-03-16 00:00:00,0.0000
2025-03-16 00:10:00,0.0000
2025-03-16 00:20:00,0.0000
2025-03-16 00:30:00,0.0000
2025-03-16 00:40:00,0.0000
2025-03-16 00:50:00,0.0000
2025-03-16 01:00:00,0.0000
2025-03-16 01:10:00,0.0000
2025-03-16 01:20:00,0.0000
2025-03-16 01:30:00,0.0000
2025-03-16 01:40:00,0.0000
2025-03-16 01:50:00,0.0000
2025-03-16 02:00:00,0.0000
2025-03-16 02:10:00,0.0000
2025-03-16 02:20:00,0.0000
2025-03-16 02:30:00,0.0000
2025-03-16 02:40:00,0.0000
2025-03-16 02:50:00,0.0000
2025-03-16 03:00:00,0.0000
2025-03-16 03:10:00,0.0000
2025-03-16 03:20:00,0.0000
2025-03-16 03:30:00,0.0000
2025-03-16 03:40:00,0.0000
2025-03-16 03:50:00,0.0000
2025-03-16 04:00:00,0.0000
2025-03-16 04:10:00,0.0000
2025-03-16 04:20:00,0.0000
2025-03-16 04:30:00,0.0000
2025-03-16 04:40:00,0.0000
2025-03-16 04:50:00,0.0000
2025-03-16 05:00:00,0.0000
2025-03-16 05:10:00,0.0000
2025-03-16 05:20:00,0.0000
2025-03-16 05:30:00,0.0000
2025-03-16 05:40:00,0.0000
2025-03-16 05:50:00,0.0000
2025-03-16 06:00:00,0.0000
2025-03-16 06:10:00,0.0000
2025-03-16 06:20:00,0.0000
2025-03-16 06:30:00,0.0000
2025-03-16 06:40:00,0.0000
2025-03-16 06:50:00,0.0000
2025-03-16 07:00:00,0.0000
2025-03-16 07:10:00,0.0000
2025-03-16 07:20:00,0.0000
2025-03-16 07:30:00,0.0000
2025-03-16 07:40:00,0.0000
2025-03-16 07:50:00,0.0000
2025-03-16 08:00:00,0.0000
2025-03-16 08:10:00,0.0000
2025-03-16 08:20:00,0.0000
2025-03-16 08:30:00,0.0000
2025-03-16 08:40:00,0.0000
2025-03-16 08:50:00,0.0000
2025-03-16 09:00:00,0.0000
2025-03-16 09:10:00,0.0000
2025-03-16 09:20:00,0.0000
2025-03-16 09:30:00,0.0000
2025-03-16 09:40:00,0.0000
2025-03-16 09:50:00,0.0000
2025-03-16 10:00:00,0.0000
2025-03-16 10:10:00,0.0000
2025-03-16 10:20:00,0.0000
2025-03-16 10:30:00,0.0000
2025-03-16 10:40:00,0.0000
2025-03-16 10:50:00,0.0000
2025-03-16 11:00:00,0.0000
2025-03-16 11:10:00,0.0000
2025-03-16 11:20:00,0.0000
2025-03-16 11:30:00,0.0000
2025-03-16 11:40:00,0.0000
2025-03-16 11:50:00,0.0000
2025-03-16 12:00:00,0.0000
2025-03-16 12:10:00,0.0000
2025-03-16 12:20:00,0.0000
2025-03-16 12:30:00,0.0000
2025-03-16 12:40:00,0.0000
2025-03-16 12:50:00,0.0000
2025-03-16 13:00:00,0.0000
2025-03-16 13:10:00,0.0000
2025-03-16 13:20:00,0.0000
2025-03-16 13:30:00,0.0000
2025-03-16 13:40:00,0.0000
2025-03-16 13:50:00,0.0000
2025-03-16 14:00:00,0.0000
2025-03-16 14:10:00,0.0000
2025-03-16 14:20:00,0.0000
2025-03-16 14:30:00,0.0000
2025-03-16 14:40:00,0.0000
2025-03-16 14:50:00,0.0000
2025-03-16 15:00:00,0.0000
2025-03-16 15:10:00,0.0000
2025-03-16 15:20:00,0.0000
2025-03-16 15:30:00,0.0000
2025-03-16 15:40:00,0.0000
2025-03-16 15:50:00,0.0000
2025-03-16 16:00:00,0.0000
2025-03-16 16:10:00,0.0000
2025-03-16 16:20:00,0.0000
2025-03-16 16:30:00,0.0000
2025-03-16 16:40:00,0.0000
2025-03-16 16:50:00,0.0000
2025-03-16 17:00:00,0.0000
2025-03-16 17:10:00,0.0000
2025-03-16 17:20:00,0.0000
2025-03-16 17:30:00,0.0000
2025-03-16 17:40:00,0.0000
2025-03-16 17:50:00,0.0000
2025-03-16 18:00:00,0.0000
2025-03-16 18:10:00,0.0000
2025-03-16 18:20:00,0.0000
2025-03-16 18:30:00,0.0000
2025-03-16 18:40:00,0.0000
2025-03-16 18:50:00,0.0000
2025-03-16 19:00:00,0.0000
2025-03-16 19:10:00,0.0000
2025-03-16 19:20:00,0.0000
2025-03-16 19:30:00,0.0000
2025-03-16 19:40:00,0.0000
2025-03-16 19:50:00,0.0000
2025-03-16 20:00:00,0.0000
2025-03-16 20:10:00,0.0000
2025-03-16 20:20:00,0.0000
2025-03-16 20:30:00,0.0000
2025-03-16 20:40:00,0.0000
2025-03-16 20:50:00,0.0000
2025-03-16 21:00:00,0.0000
2025-03-16 21:10:00,0.0000
2025-03-16 21:20:00,0.0000
2025-03-16 21:30:00,0.0000
2025-03-16 21:40:00,0.0000
2025-03-16 21:50:00,0.0000
2025-03-16 22:00:00,0.0000
2025-03-16 22:10:00,0.0000
2025-03-16 22:20:00,0.0000
2025-03-16 22:30:00,0.0000
2025-03-16 22:40:00,0.0000
2025-03-16 22:50:00,0.0000
2025-03-16 23:00:00,0.0000
2025-03-16 23:10:00,0.0000
2025-03-16 23:20:00,0.0000
2025-03-16 23:30:00,0.0000
2025-03-16 23:40:00,0.0000
2025-03-16 23:50:00,0.0000
2025-03-17 00:00:00,0.0000
2025-03-17 00:10:00,0.0000
2025-03-17 00:20:00,0.0000
2025-03-17 00:30:00,0.0000
2025-03-17 00:40:00,0.0000
2025-03-17 00:50:00,0.0000
2025-03-17 01:00:00,0.0000
2025-03-17 01:10:00,0.0000
2025-03-17 01:20:00,0.0000
2025-03-17 01:30:00,0.0000
2025-03-17 01:40:00,0.0000
2025-03-17 01:50:00,0.0000
2025-03-17 02:00:00,0.0000
2025-03-17 02:10:00,0.0000
2025-03-17 02:20:00,0.0000
2025-03-17 02:30:00,0.0000
2025-03-17 02:40:00,0.0000
2025-03-17 02:50:00,0.0000
2025-03-17 03:00:00,0.0000
2025-03-17 03:10:00,0.0000
2025-03-17 03:20:00,0.0000
2025-03-17 03:30:00,0.0000
2025-03-17 03:40:00,0.0000
2025-03-17 03:50:00,0.0000
2025-03-17 04:00:00,0.0000
2025-03-17 04:10:00,0.0000
2025-03-17 04:20:00,0.0000
2025-03-17 04:30:00,0.0000
2025-03-17 04:40:00,0.0000
2025-03-17 04:50:00,0.0000
2025-03-17 05:00:00,0.0000
2025-03-17 05:10:00,0.0000
2025-03-17 05:20:00,0.0000
2025-03-17 05:30:00,0.0000
2025-03-17 05:40:00,0.0000
2025-03-17 05:50:00,0.0000
2025-03-17 06:00:00,0.0000
2025-03-17 06:10:00,0.0000
